account,total_pnl,trade_count,avg_pnl,pnl_std,win_count,total_volume,avg_trade_size,long_trades,active_days,win_rate,long_ratio,trades_per_day
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,3818,419.1277684596647,4692.452328769463,1373,61697263.97,16159.57673389209,1711,24,0.3596123624934521,0.4481403876375065,159.08333333333334
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,7280,6.5776539167582415,134.07347277629353,3223,12035487.66,1653.2263269230768,3055,52,0.4427197802197802,0.41964285714285715,140.0
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,3809,-18.49204287687057,542.1826592941622,1150,33873440.42,8893.000897873459,1566,12,0.3019165135206091,0.4111315305854555,317.4166666666667
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,13311,9.951529904139434,113.26935264594304,5838,6757022.1,507.6269326121253,6699,162,0.43858462925400044,0.5032679738562091,82.16666666666667
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,3239,52.0710111126891,255.82909123366827,1684,10166880.2,3138.894782340228,1179,69,0.5199135535659154,0.36400123494905834,46.94202898550725
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,815,-38.28662574969325,558.7787526232372,371,1409902.0,1729.9411042944785,182,43,0.45521472392638035,0.2233128834355828,18.953488372093023
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,3589,4.0281190682641395,730.495483644371,1176,17193375.42,4790.5754862078575,1648,46,0.32766787405962666,0.4591808303148509,78.02173913043478
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,332,161.13327482831323,1279.8557881354639,158,1143896.46,3445.471265060241,170,28,0.4759036144578313,0.5120481927710844,11.857142857142858
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,383,520.9023308929503,2228.336140282739,90,1987527.6099999999,5189.367127937337,101,20,0.2349869451697128,0.26370757180156656,19.15
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,1237,336.735547567502,1649.4975803457905,599,2966109.22,2397.824753435732,302,28,0.48423605497170574,0.24413904607922393,44.17857142857143
